DatetimeRM_TEMP_W
01/01/18 00:0066,95
01/01/18 00:0166,95
01/01/18 00:0266,95
01/01/18 00:0366,95
01/01/18 00:0466,95
01/01/18 00:0566,95
01/01/18 00:0666,94
01/01/18 00:0766,94
01/01/18 00:0866,93
01/01/18 00:0966,93
01/01/18 00:1066,93
01/01/18 00:1166,92
01/01/18 00:1266,92
01/01/18 00:1366,91
01/01/18 00:1466,91
01/01/18 00:1566,9
01/01/18 00:1666,89
01/01/18 00:1766,89
01/01/18 00:1866,88
01/01/18 00:1966,88
01/01/18 00:2066,87
01/01/18 00:2166,86
01/01/18 00:2266,86
01/01/18 00:2366,85
01/01/18 00:2466,85
01/01/18 00:2566,84
01/01/18 00:2666,83
01/01/18 00:2766,83
01/01/18 00:2866,82
01/01/18 00:2966,82
01/01/18 00:3066,81
01/01/18 00:3166,8
01/01/18 00:3266,8
01/01/18 00:3366,79
01/01/18 00:3466,79
01/01/18 00:3566,78
01/01/18 00:3666,77
01/01/18 00:3766,77
01/01/18 00:3866,76
01/01/18 00:3966,75
01/01/18 00:4066,75
01/01/18 00:4166,74
01/01/18 00:4266,74
01/01/18 00:4366,73
01/01/18 00:4466,72
01/01/18 00:4566,72
01/01/18 00:4666,71
01/01/18 00:4766,71
01/01/18 00:4866,7
01/01/18 00:4966,69
01/01/18 00:5066,69
01/01/18 00:5166,68
01/01/18 00:5266,68
01/01/18 00:5366,67
01/01/18 00:5466,67
01/01/18 00:5566,66
01/01/18 00:5666,65
01/01/18 00:5766,65
01/01/18 00:5866,64
01/01/18 00:5966,64
01/01/18 01:0066,63
01/01/18 01:0166,63
01/01/18 01:0266,62
01/01/18 01:0366,61
01/01/18 01:0466,61
01/01/18 01:0566,6
01/01/18 01:0666,6
01/01/18 01:0766,59
01/01/18 01:0866,59
01/01/18 01:0966,58
01/01/18 01:1066,58
01/01/18 01:1166,57
01/01/18 01:1266,57
01/01/18 01:1366,56
01/01/18 01:1466,55
01/01/18 01:1566,55
01/01/18 01:1666,54
01/01/18 01:1766,54
01/01/18 01:1866,53
01/01/18 01:1966,53
01/01/18 01:2066,52
01/01/18 01:2166,52
01/01/18 01:2266,51
01/01/18 01:2366,51
01/01/18 01:2466,5
01/01/18 01:2566,5
01/01/18 01:2666,49
01/01/18 01:2766,49
01/01/18 01:2866,48
01/01/18 01:2966,48
01/01/18 01:3066,47
01/01/18 01:3166,47
01/01/18 01:3266,46
01/01/18 01:3366,46
01/01/18 01:3466,45
01/01/18 01:3566,45
01/01/18 01:3666,44
01/01/18 01:3766,44
01/01/18 01:3866,43
01/01/18 01:3966,43
01/01/18 01:4066,42
01/01/18 01:4166,41
01/01/18 01:4266,41
01/01/18 01:4366,4
01/01/18 01:4466,4
01/01/18 01:4566,39
01/01/18 01:4666,39
01/01/18 01:4766,38
01/01/18 01:4866,38
01/01/18 01:4966,37
01/01/18 01:5066,37
01/01/18 01:5166,36
01/01/18 01:5266,36
01/01/18 01:5366,35
01/01/18 01:5466,35
01/01/18 01:5566,34
01/01/18 01:5666,34
01/01/18 01:5766,33
01/01/18 01:5866,33
01/01/18 01:5966,32
01/01/18 02:0066,32
